,all_time_peak,last_30_day_avg,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
223,413,26.48,7632.0,Tomb Raider: Underworld,DS,2008.0,Action,Eidos Interactive,0.16,0.03,0.0,0.02,0.2
224,413,26.48,8163.0,Tomb Raider: Underworld,PS2,2009.0,Action,Eidos Interactive,0.09,0.04,0.0,0.05,0.18
225,413,26.48,11485.0,Tomb Raider: Underworld,PC,2008.0,Action,Eidos Interactive,0.0,0.06,0.0,0.02,0.08
226,103329,13734.21,332.0,The Witcher 3: Wild Hunt,PS4,2015.0,Role-Playing,Namco Bandai Games,0.96,2.0,0.21,0.56,3.73
227,103329,13734.21,1607.0,The Witcher 3: Wild Hunt,XOne,2015.0,Role-Playing,Namco Bandai Games,0.66,0.47,0.0,0.11,1.24
228,103329,13734.21,3028.0,The Witcher 3: Wild Hunt,PC,2015.0,Role-Playing,Namco Bandai Games,0.2,0.42,0.0,0.05,0.67
229,4099,143.13,1627.0,Bayonetta,PS3,2009.0,Action,Sega,0.44,0.41,0.21,0.17,1.23
230,4099,143.13,2208.0,Bayonetta,X360,2009.0,Action,Sega,0.51,0.26,0.09,0.08,0.94
231,471955,15320.19,110.0,Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96
232,471955,15320.19,288.0,Fallout 4,XOne,2015.0,Role-Playing,Bethesda Softworks,2.45,1.26,0.01,0.37,4.09
233,471955,15320.19,1632.0,Fallout 4,PC,2015.0,Role-Playing,Bethesda Softworks,0.5,0.63,0.0,0.1,1.23
234,410,52.67,408.0,Max Payne,PS2,2001.0,Shooter,Take-Two Interactive,1.99,1.05,0.05,0.22,3.31
235,410,52.67,408.0,Max Payne,PS2,2001.0,Shooter,Take-Two Interactive,1.99,1.05,0.05,0.22,3.31
236,410,52.67,408.0,Max Payne,PS2,2001.0,Shooter,Take-Two Interactive,1.99,1.05,0.05,0.22,3.31
237,410,52.67,1648.0,Max Payne,XB,2001.0,Shooter,Take-Two Interactive,0.98,0.19,0.0,0.05,1.22
238,410,52.67,1648.0,Max Payne,XB,2001.0,Shooter,Take-Two Interactive,0.98,0.19,0.0,0.05,1.22
239,410,52.67,1648.0,Max Payne,XB,2001.0,Shooter,Take-Two Interactive,0.98,0.19,0.0,0.05,1.22
240,410,52.67,14714.0,Max Payne,GBA,2003.0,Shooter,Take-Two Interactive,0.02,0.01,0.0,0.0,0.03
241,410,52.67,14714.0,Max Payne,GBA,2003.0,Shooter,Take-Two Interactive,0.02,0.01,0.0,0.0,0.03
242,410,52.67,14714.0,Max Payne,GBA,2003.0,Shooter,Take-Two Interactive,0.02,0.01,0.0,0.0,0.03
243,410,52.67,15142.0,Max Payne,PC,2001.0,Shooter,Take-Two Interactive,0.0,0.02,0.0,0.0,0.02
244,410,52.67,15142.0,Max Payne,PC,2001.0,Shooter,Take-Two Interactive,0.0,0.02,0.0,0.0,0.02
245,410,52.67,15142.0,Max Payne,PC,2001.0,Shooter,Take-Two Interactive,0.0,0.02,0.0,0.0,0.02
246,11,0.42,,,,,,,,,,,
247,509,21.93,483.0,Hitman 2: Silent Assassin,PS2,2002.0,Action,Eidos Interactive,1.36,1.15,0.04,0.41,2.96
248,509,21.93,1699.0,Hitman 2: Silent Assassin,XB,,Action,Eidos Interactive,0.76,0.38,0.0,0.05,1.19
249,509,21.93,9503.0,Hitman 2: Silent Assassin,GC,2003.0,Action,Eidos Interactive,0.1,0.03,0.0,0.0,0.13
250,44890,4648.88,290.0,Fallout: New Vegas,X360,2010.0,Role-Playing,Bethesda Softworks,2.65,1.06,0.04,0.33,4.08
251,44890,4648.88,290.0,Fallout: New Vegas,X360,2010.0,Role-Playing,Bethesda Softworks,2.65,1.06,0.04,0.33,4.08
252,44890,4648.88,431.0,Fallout: New Vegas,PS3,2010.0,Role-Playing,Bethesda Softworks,1.52,1.08,0.1,0.47,3.17
253,44890,4648.88,431.0,Fallout: New Vegas,PS3,2010.0,Role-Playing,Bethesda Softworks,1.52,1.08,0.1,0.47,3.17
254,44890,4648.88,1743.0,Fallout: New Vegas,PC,2010.0,Role-Playing,Bethesda Softworks,0.58,0.45,0.0,0.14,1.16
255,44890,4648.88,1743.0,Fallout: New Vegas,PC,2010.0,Role-Playing,Bethesda Softworks,0.58,0.45,0.0,0.14,1.16
256,3897,481.73,,,,,,,,,,,
257,1586,28.31,1758.0,Sniper: Ghost Warrior,X360,2010.0,Shooter,City Interactive,0.54,0.51,0.0,0.12,1.16
258,1586,28.31,2595.0,Sniper: Ghost Warrior,PS3,2011.0,Shooter,City Interactive,0.26,0.36,0.04,0.14,0.8
259,1586,28.31,8654.0,Sniper: Ghost Warrior,PC,2010.0,Shooter,City Interactive,0.0,0.13,0.0,0.03,0.16
260,10761,264.98,1814.0,Alien: Isolation,PS4,2014.0,Shooter,Sega,0.34,0.56,0.04,0.19,1.13
261,10761,264.98,3997.0,Alien: Isolation,XOne,2014.0,Shooter,Sega,0.22,0.24,0.0,0.04,0.5
262,10761,264.98,5089.0,Alien: Isolation,PS3,2014.0,Shooter,Sega,0.12,0.19,0.0,0.07,0.37
263,10761,264.98,5829.0,Alien: Isolation,X360,2014.0,Shooter,Sega,0.15,0.13,0.0,0.03,0.3
264,10761,264.98,8962.0,Alien: Isolation,PC,2014.0,Shooter,Sega,0.0,0.13,0.0,0.01,0.15
265,65188,7874.89,1833.0,Counter-Strike,XB,2003.0,Shooter,Microsoft Game Studios,0.85,0.23,0.0,0.04,1.11
266,2296,56.31,1838.0,Sunset Overdrive,XOne,2014.0,Shooter,Microsoft Game Studios,0.62,0.4,0.0,0.08,1.11
267,1466,12.02,1846.0,Legend of Mana,PS,1999.0,Role-Playing,SquareSoft,0.18,0.13,0.73,0.07,1.11
268,1414,42.28,1868.0,Tales of Symphonia,GC,2003.0,Role-Playing,Nintendo,0.54,0.21,0.31,0.04,1.1
269,1414,42.28,3723.0,Tales of Symphonia,PS3,2013.0,Role-Playing,Namco Bandai Games,0.21,0.13,0.13,0.06,0.54
270,413,26.48,1552.0,Tomb Raider: Underworld,PS3,2008.0,Action,Eidos Interactive,0.45,0.56,0.05,0.22,1.27
271,413,26.48,1908.0,Tomb Raider: Underworld,X360,2008.0,Action,Eidos Interactive,0.53,0.43,0.01,0.11,1.08
272,413,26.48,4135.0,Tomb Raider: Underworld,Wii,2008.0,Action,Eidos Interactive,0.14,0.28,0.0,0.06,0.48
273,413,26.48,7632.0,Tomb Raider: Underworld,DS,2008.0,Action,Eidos Interactive,0.16,0.03,0.0,0.02,0.2
274,413,26.48,8163.0,Tomb Raider: Underworld,PS2,2009.0,Action,Eidos Interactive,0.09,0.04,0.0,0.05,0.18
275,413,26.48,11485.0,Tomb Raider: Underworld,PC,2008.0,Action,Eidos Interactive,0.0,0.06,0.0,0.02,0.08
276,1978,358.73,1924.0,Bully: Scholarship Edition,X360,2008.0,Action,Take-Two Interactive,0.53,0.4,0.03,0.11,1.07
277,1978,358.73,3850.0,Bully: Scholarship Edition,Wii,2008.0,Action,Take-Two Interactive,0.17,0.29,0.0,0.06,0.52
278,1978,358.73,14797.0,Bully: Scholarship Edition,PC,2008.0,Action,Take-Two Interactive,0.0,0.02,0.0,0.0,0.03
279,33,2.59,1935.0,Disney Universe,Wii,2011.0,Action,Disney Interactive Studios,0.67,0.3,0.0,0.1,1.07
280,33,2.59,3200.0,Disney Universe,PS3,2011.0,Action,Disney Interactive Studios,0.3,0.23,0.0,0.09,0.63
281,33,2.59,3516.0,Disney Universe,X360,2011.0,Action,Disney Interactive Studios,0.37,0.15,0.0,0.05,0.57
282,12032,20.45,,,,,,,,,,,
283,826,171.77,1952.0,Worms Armageddon,PS,1999.0,Strategy,Microprose,0.18,0.81,0.0,0.08,1.06
284,826,171.77,13742.0,Worms Armageddon,N64,1999.0,Strategy,Infogrames,0.03,0.01,0.0,0.0,0.04
285,21,2.77,1994.0,Disney Tangled,DS,2010.0,Action,Disney Interactive Studios,0.58,0.37,0.0,0.09,1.04
286,21,2.77,2947.0,Disney Tangled,Wii,2010.0,Action,Disney Interactive Studios,0.47,0.17,0.0,0.05,0.69
287,29,3.15,2015.0,MX vs. ATV Unleashed,PS2,2005.0,Racing,THQ,0.86,0.03,0.0,0.14,1.03
288,29,3.15,4844.0,MX vs. ATV Unleashed,XB,2005.0,Racing,THQ,0.32,0.07,0.0,0.01,0.4
289,89494,1215.08,230.0,Tomb Raider,PS,1996.0,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63
290,89494,1215.08,2024.0,Tomb Raider,PC,1996.0,Action,Eidos Interactive,0.96,0.07,0.0,0.0,1.03
291,2653,48.72,209.0,Fallout 3,X360,2008.0,Role-Playing,Bethesda Softworks,3.39,1.03,0.09,0.44,4.96
292,2653,48.72,300.0,Fallout 3,PS3,2008.0,Role-Playing,Bethesda Softworks,2.15,1.2,0.07,0.59,4.01
293,2653,48.72,2105.0,Fallout 3,PC,2008.0,Role-Playing,Bethesda Softworks,0.02,0.88,0.0,0.08,0.99
294,23042,688.31,,,,,,,,,,,
295,70123,39.5,2120.0,Sniper Elite V2,PS3,2012.0,Shooter,505 Games,0.38,0.39,0.06,0.15,0.98
296,70123,39.5,2453.0,Sniper Elite V2,X360,2012.0,Shooter,505 Games,0.46,0.29,0.02,0.07,0.85
297,70123,39.5,15272.0,Sniper Elite V2,WiiU,2013.0,Shooter,505 Games,0.0,0.02,0.0,0.0,0.02
298,7129,55.27,,,,,,,,,,,
299,7129,55.27,,,,,,,,,,,
300,4099,143.13,1627.0,Bayonetta,PS3,2009.0,Action,Sega,0.44,0.41,0.21,0.17,1.23
301,4099,143.13,2208.0,Bayonetta,X360,2009.0,Action,Sega,0.51,0.26,0.09,0.08,0.94
302,6279,34.83,2209.0,Destroy All Humans!,PS2,2005.0,Shooter,THQ,0.78,0.03,0.0,0.13,0.94
303,6279,34.83,4232.0,Destroy All Humans!,XB,2005.0,Shooter,THQ,0.34,0.11,0.0,0.02,0.46
304,123596,2175.35,454.0,Borderlands 2,X360,2012.0,Shooter,Take-Two Interactive,1.89,0.91,0.04,0.24,3.07
305,123596,2175.35,705.0,Borderlands 2,PS3,2012.0,Shooter,Take-Two Interactive,1.05,0.77,0.1,0.36,2.28
306,123596,2175.35,2226.0,Borderlands 2,PC,2012.0,Shooter,Take-Two Interactive,0.42,0.41,0.0,0.11,0.93
307,123596,2175.35,2488.0,Borderlands 2,PSV,2014.0,Shooter,Take-Two Interactive,0.43,0.21,0.01,0.19,0.83
308,4089,185.01,959.0,The Evil Within,PS4,2014.0,Action,Bethesda Softworks,0.55,0.84,0.11,0.31,1.81
309,4089,185.01,2267.0,The Evil Within,PS3,2014.0,Action,Bethesda Softworks,0.26,0.39,0.12,0.14,0.92
310,4089,185.01,3100.0,The Evil Within,XOne,2014.0,Action,Bethesda Softworks,0.35,0.25,0.0,0.05,0.65
311,4089,185.01,4014.0,The Evil Within,X360,2014.0,Action,Bethesda Softworks,0.25,0.2,0.01,0.04,0.5
312,4089,185.01,6300.0,The Evil Within,PC,2014.0,Action,Bethesda Softworks,0.09,0.16,0.0,0.02,0.27
313,6912,11.36,1306.0,Homefront,X360,2011.0,Shooter,THQ,0.83,0.48,0.02,0.12,1.46
314,6912,11.36,2275.0,Homefront,PS3,2011.0,Shooter,THQ,0.32,0.4,0.04,0.15,0.91
315,6912,11.36,6796.0,Homefront,PC,2011.0,Shooter,THQ,0.11,0.1,0.0,0.03,0.24
316,39,0.0,2285.0,Glover,N64,1998.0,Platform,Hasbro Interactive,0.72,0.17,0.0,0.01,0.91
317,39,0.0,8331.0,Glover,PS,1999.0,Platform,Atari,0.09,0.06,0.0,0.01,0.17
318,408,24.88,2286.0,MX vs. ATV Reflex,PS3,2009.0,Racing,THQ,0.52,0.26,0.0,0.12,0.91
319,408,24.88,2821.0,MX vs. ATV Reflex,X360,2009.0,Racing,THQ,0.52,0.15,0.0,0.06,0.73
320,408,24.88,6866.0,MX vs. ATV Reflex,PSP,2009.0,Racing,THQ,0.18,0.03,0.0,0.03,0.24
321,408,24.88,9118.0,MX vs. ATV Reflex,DS,2009.0,Racing,THQ,0.13,0.0,0.0,0.01,0.14
322,4725,370.36,99.0,Call of Duty: World at War,X360,2008.0,Shooter,Activision,4.79,1.9,0.0,0.69,7.37
323,4725,370.36,167.0,Call of Duty: World at War,PS3,2008.0,Shooter,Activision,2.72,1.87,0.0,0.84,5.43
324,4725,370.36,863.0,Call of Duty: World at War,Wii,2008.0,Shooter,Activision,1.2,0.59,0.0,0.19,1.97
325,4725,370.36,2290.0,Call of Duty: World at War,DS,2008.0,Shooter,Activision,0.57,0.26,0.0,0.08,0.91
326,4725,370.36,7951.0,Call of Duty: World at War,PC,2008.0,Shooter,Activision,0.02,0.13,0.0,0.03,0.19
327,376,13.71,2327.0,Call of Juarez: Bound in Blood,PS3,2009.0,Shooter,Ubisoft,0.35,0.38,0.01,0.16,0.89
328,376,13.71,3334.0,Call of Juarez: Bound in Blood,X360,2009.0,Shooter,Ubisoft,0.3,0.24,0.0,0.06,0.61
329,376,13.71,14222.0,Call of Juarez: Bound in Blood,PC,2009.0,Shooter,Ubisoft,0.0,0.03,0.0,0.01,0.03
330,12032,20.45,,,,,,,,,,,
331,461,31.89,2412.0,Tomb Raider: Anniversary,Wii,2007.0,Action,Eidos Interactive,0.12,0.63,0.0,0.11,0.86
332,461,31.89,3524.0,Tomb Raider: Anniversary,PSP,2007.0,Action,Eidos Interactive,0.21,0.23,0.0,0.13,0.57
333,461,31.89,4010.0,Tomb Raider: Anniversary,PS2,2007.0,Action,Eidos Interactive,0.41,0.02,0.0,0.07,0.5
334,461,31.89,4855.0,Tomb Raider: Anniversary,X360,2007.0,Action,Eidos Interactive,0.12,0.23,0.0,0.05,0.4
335,461,31.89,14041.0,Tomb Raider: Anniversary,PC,2007.0,Action,Eidos Interactive,0.0,0.03,0.0,0.01,0.04
336,70123,39.5,2120.0,Sniper Elite V2,PS3,2012.0,Shooter,505 Games,0.38,0.39,0.06,0.15,0.98
337,70123,39.5,2453.0,Sniper Elite V2,X360,2012.0,Shooter,505 Games,0.46,0.29,0.02,0.07,0.85
338,70123,39.5,15272.0,Sniper Elite V2,WiiU,2013.0,Shooter,505 Games,0.0,0.02,0.0,0.0,0.02
339,7558,341.54,2458.0,Devil May Cry HD Collection,PS3,2012.0,Action,Capcom,0.42,0.21,0.11,0.1,0.84
340,7558,341.54,4478.0,Devil May Cry HD Collection,X360,2012.0,Action,Capcom,0.28,0.11,0.01,0.03,0.44
341,559,27.04,2471.0,Duke Nukem Forever,X360,2011.0,Shooter,Take-Two Interactive,0.52,0.25,0.0,0.07,0.84
342,559,27.04,2668.0,Duke Nukem Forever,PS3,2011.0,Shooter,Take-Two Interactive,0.33,0.31,0.0,0.12,0.77
343,559,27.04,4764.0,Duke Nukem Forever,PC,2011.0,Shooter,Take-Two Interactive,0.18,0.17,0.0,0.06,0.41
344,123596,2175.35,454.0,Borderlands 2,X360,2012.0,Shooter,Take-Two Interactive,1.89,0.91,0.04,0.24,3.07
345,123596,2175.35,705.0,Borderlands 2,PS3,2012.0,Shooter,Take-Two Interactive,1.05,0.77,0.1,0.36,2.28
346,123596,2175.35,2226.0,Borderlands 2,PC,2012.0,Shooter,Take-Two Interactive,0.42,0.41,0.0,0.11,0.93
347,123596,2175.35,2488.0,Borderlands 2,PSV,2014.0,Shooter,Take-Two Interactive,0.43,0.21,0.01,0.19,0.83
348,13807,143.42,2513.0,Street Fighter V,PS4,2016.0,Fighting,Capcom,0.35,0.26,0.08,0.13,0.82
349,13807,143.42,13046.0,Street Fighter V,PC,2016.0,Fighting,Capcom,0.0,0.05,0.0,0.0,0.05
350,5731,91.54,,,,,,,,,,,
351,45770,5456.88,1099.0,Dying Light,PS4,2015.0,Action,Warner Bros. Interactive Entertainment,0.63,0.66,0.11,0.26,1.66
352,45770,5456.88,2556.0,Dying Light,XOne,2015.0,Action,Warner Bros. Interactive Entertainment,0.43,0.3,0.01,0.07,0.81
353,45770,5456.88,8077.0,Dying Light,PC,2015.0,Action,Warner Bros. Interactive Entertainment,0.11,0.06,0.0,0.02,0.18
354,173,16.21,2571.0,Hitman: Contracts,PS2,2004.0,Shooter,Eidos Interactive,0.39,0.31,0.0,0.1,0.8
355,173,16.21,5381.0,Hitman: Contracts,XB,2004.0,Shooter,Eidos Interactive,0.26,0.07,0.0,0.01,0.34
356,1586,28.31,1758.0,Sniper: Ghost Warrior,X360,2010.0,Shooter,City Interactive,0.54,0.51,0.0,0.12,1.16
357,1586,28.31,2595.0,Sniper: Ghost Warrior,PS3,2011.0,Shooter,City Interactive,0.26,0.36,0.04,0.14,0.8
358,1586,28.31,8654.0,Sniper: Ghost Warrior,PC,2010.0,Shooter,City Interactive,0.0,0.13,0.0,0.03,0.16
359,559,27.04,2471.0,Duke Nukem Forever,X360,2011.0,Shooter,Take-Two Interactive,0.52,0.25,0.0,0.07,0.84
360,559,27.04,2668.0,Duke Nukem Forever,PS3,2011.0,Shooter,Take-Two Interactive,0.33,0.31,0.0,0.12,0.77
361,559,27.04,4764.0,Duke Nukem Forever,PC,2011.0,Shooter,Take-Two Interactive,0.18,0.17,0.0,0.06,0.41
362,14984,1465.99,791.0,Portal 2,X360,2011.0,Shooter,Valve Software,1.41,0.51,0.01,0.17,2.1
363,14984,1465.99,1018.0,Portal 2,PS3,2011.0,Shooter,Valve,0.83,0.63,0.02,0.25,1.74
364,14984,1465.99,2701.0,Portal 2,PC,2011.0,Shooter,Valve Software,0.33,0.32,0.0,0.11,0.76
365,357,16.39,2741.0,Turok,X360,2008.0,Action,Touchstone,0.46,0.21,0.01,0.07,0.75
366,357,16.39,3006.0,Turok,PS3,2008.0,Action,Touchstone,0.35,0.22,0.01,0.1,0.68
367,357,16.39,15983.0,Turok,PC,2008.0,Action,Touchstone,0.0,0.01,0.0,0.0,0.01
368,80,9.92,2755.0,Split/Second,PS3,2010.0,Racing,Disney Interactive Studios,0.31,0.31,0.01,0.12,0.75
369,80,9.92,3318.0,Split/Second,X360,2010.0,Racing,Disney Interactive Studios,0.32,0.23,0.0,0.06,0.61
370,80,9.92,10213.0,Split/Second,PSP,2010.0,Racing,Disney Interactive Studios,0.07,0.02,0.0,0.02,0.11
371,80,9.92,13539.0,Split/Second,PC,2010.0,Racing,Disney Interactive Studios,0.0,0.04,0.0,0.01,0.04
372,67244,296.91,2759.0,Borderlands: The Pre-Sequel,X360,2014.0,Shooter,Take-Two Interactive,0.46,0.22,0.01,0.06,0.75
373,67244,296.91,3049.0,Borderlands: The Pre-Sequel,PS3,2014.0,Shooter,Take-Two Interactive,0.25,0.26,0.05,0.11,0.67
374,67244,296.91,6073.0,Borderlands: The Pre-Sequel,PC,2014.0,Shooter,Take-Two Interactive,0.11,0.15,0.0,0.03,0.29
375,27,0.9,2815.0,Full Spectrum Warrior,XB,2004.0,Strategy,THQ,0.54,0.16,0.0,0.03,0.73
376,27,0.9,5926.0,Full Spectrum Warrior,PS2,2005.0,Strategy,THQ,0.15,0.11,0.0,0.04,0.3
377,408,24.88,2286.0,MX vs. ATV Reflex,PS3,2009.0,Racing,THQ,0.52,0.26,0.0,0.12,0.91
378,408,24.88,2821.0,MX vs. ATV Reflex,X360,2009.0,Racing,THQ,0.52,0.15,0.0,0.06,0.73
379,408,24.88,6866.0,MX vs. ATV Reflex,PSP,2009.0,Racing,THQ,0.18,0.03,0.0,0.03,0.24
380,408,24.88,9118.0,MX vs. ATV Reflex,DS,2009.0,Racing,THQ,0.13,0.0,0.0,0.01,0.14
381,70560,633.07,2826.0,XCOM: Enemy Unknown,PC,2012.0,Strategy,Take-Two Interactive,0.26,0.36,0.0,0.1,0.72
382,70560,633.07,3149.0,XCOM: Enemy Unknown,X360,2012.0,Strategy,Take-Two Interactive,0.36,0.23,0.0,0.05,0.64
383,70560,633.07,3370.0,XCOM: Enemy Unknown,PS3,2012.0,Strategy,Take-Two Interactive,0.24,0.25,0.0,0.11,0.6
384,486918,21886.95,2843.0,Terraria,X360,2013.0,Action,505 Games,0.35,0.31,0.0,0.06,0.72
385,486918,21886.95,4053.0,Terraria,PS3,2013.0,Action,505 Games,0.07,0.26,0.09,0.07,0.49
386,486918,21886.95,8846.0,Terraria,PC,2011.0,Action,Unknown,0.0,0.13,0.0,0.02,0.15
387,486918,21886.95,10260.0,Terraria,PSV,2013.0,Action,Screenlife,0.0,0.01,0.09,0.0,0.11
388,486918,21886.95,11620.0,Terraria,3DS,2016.0,Action,505 Games,0.0,0.03,0.04,0.0,0.08
389,486918,21886.95,12442.0,Terraria,PS4,2014.0,Action,505 Games,0.0,0.05,0.01,0.01,0.06
390,486918,21886.95,13772.0,Terraria,XOne,2014.0,Action,505 Games,0.0,0.04,0.0,0.0,0.04
391,486918,21886.95,14850.0,Terraria,WiiU,2016.0,Action,505 Games,0.0,0.02,0.0,0.0,0.03
392,34,1.02,2927.0,World of Zoo,DS,2009.0,Simulation,THQ,0.43,0.2,0.0,0.06,0.7
393,34,1.02,3232.0,World of Zoo,Wii,2009.0,Simulation,THQ,0.41,0.16,0.0,0.05,0.63
394,34,1.02,14572.0,World of Zoo,PC,2009.0,Simulation,THQ,0.0,0.02,0.0,0.01,0.03
395,9066,62.95,2933.0,Mafia,PS2,2004.0,Action,Illusion Softworks,0.34,0.27,0.0,0.09,0.7
396,9066,62.95,7053.0,Mafia,XB,2004.0,Action,Take-Two Interactive,0.17,0.05,0.0,0.01,0.23
397,9066,62.95,13370.0,Mafia,PC,2002.0,Action,Take-Two Interactive,0.0,0.04,0.0,0.01,0.05
398,32,1.99,,,,,,,,,,,
399,21,2.77,1994.0,Disney Tangled,DS,2010.0,Action,Disney Interactive Studios,0.58,0.37,0.0,0.09,1.04
400,21,2.77,2947.0,Disney Tangled,Wii,2010.0,Action,Disney Interactive Studios,0.47,0.17,0.0,0.05,0.69
401,10861,133.38,2992.0,Sniper Elite 3,PS4,2014.0,Shooter,505 Games,0.22,0.33,0.0,0.13,0.68
402,10861,133.38,5558.0,Sniper Elite 3,XOne,2014.0,Shooter,505 Games,0.19,0.11,0.0,0.03,0.33
403,10861,133.38,5618.0,Sniper Elite 3,X360,2014.0,Shooter,505 Games,0.16,0.14,0.0,0.03,0.32
404,10861,133.38,5715.0,Sniper Elite 3,PS3,2014.0,Shooter,505 Games,0.1,0.15,0.0,0.06,0.31
405,357,16.39,2741.0,Turok,X360,2008.0,Action,Touchstone,0.46,0.21,0.01,0.07,0.75
406,357,16.39,3006.0,Turok,PS3,2008.0,Action,Touchstone,0.35,0.22,0.01,0.1,0.68
407,357,16.39,15983.0,Turok,PC,2008.0,Action,Touchstone,0.0,0.01,0.0,0.0,0.01
408,11808,425.51,1170.0,Wolfenstein: The New Order,PS4,2014.0,Shooter,Bethesda Softworks,0.47,0.8,0.03,0.29,1.58
409,11808,425.51,1170.0,Wolfenstein: The New Order,PS4,2014.0,Shooter,Bethesda Softworks,0.47,0.8,0.03,0.29,1.58
410,11808,425.51,3020.0,Wolfenstein: The New Order,XOne,2014.0,Shooter,Bethesda Softworks,0.33,0.28,0.0,0.06,0.67
411,11808,425.51,3020.0,Wolfenstein: The New Order,XOne,2014.0,Shooter,Bethesda Softworks,0.33,0.28,0.0,0.06,0.67
412,11808,425.51,3945.0,Wolfenstein: The New Order,PS3,2014.0,Shooter,Bethesda Softworks,0.14,0.25,0.02,0.09,0.51
413,11808,425.51,3945.0,Wolfenstein: The New Order,PS3,2014.0,Shooter,Bethesda Softworks,0.14,0.25,0.02,0.09,0.51
414,11808,425.51,4246.0,Wolfenstein: The New Order,PC,2014.0,Shooter,Bethesda Softworks,0.12,0.29,0.0,0.05,0.46
415,11808,425.51,4246.0,Wolfenstein: The New Order,PC,2014.0,Shooter,Bethesda Softworks,0.12,0.29,0.0,0.05,0.46
416,11808,425.51,4704.0,Wolfenstein: The New Order,X360,2014.0,Shooter,Bethesda Softworks,0.18,0.19,0.0,0.04,0.41
417,11808,425.51,4704.0,Wolfenstein: The New Order,X360,2014.0,Shooter,Bethesda Softworks,0.18,0.19,0.0,0.04,0.41
418,2775,21.07,,,,,,,,,,,
419,103329,13734.21,332.0,The Witcher 3: Wild Hunt,PS4,2015.0,Role-Playing,Namco Bandai Games,0.96,2.0,0.21,0.56,3.73
420,103329,13734.21,1607.0,The Witcher 3: Wild Hunt,XOne,2015.0,Role-Playing,Namco Bandai Games,0.66,0.47,0.0,0.11,1.24
421,103329,13734.21,3028.0,The Witcher 3: Wild Hunt,PC,2015.0,Role-Playing,Namco Bandai Games,0.2,0.42,0.0,0.05,0.67
422,11647,256.52,3032.0,RIFT,PC,2011.0,Role-Playing,Unknown,0.44,0.16,0.0,0.07,0.67
423,65198,279.8,867.0,BioShock Infinite,X360,2013.0,Shooter,Take-Two Interactive,1.22,0.57,0.02,0.15,1.96
424,65198,279.8,998.0,BioShock Infinite,PS3,2013.0,Shooter,Take-Two Interactive,0.72,0.69,0.04,0.31,1.76
425,65198,279.8,3036.0,BioShock Infinite,PC,2013.0,Shooter,Take-Two Interactive,0.28,0.3,0.0,0.08,0.67
426,67244,296.91,2759.0,Borderlands: The Pre-Sequel,X360,2014.0,Shooter,Take-Two Interactive,0.46,0.22,0.01,0.06,0.75
427,67244,296.91,3049.0,Borderlands: The Pre-Sequel,PS3,2014.0,Shooter,Take-Two Interactive,0.25,0.26,0.05,0.11,0.67
428,67244,296.91,6073.0,Borderlands: The Pre-Sequel,PC,2014.0,Shooter,Take-Two Interactive,0.11,0.15,0.0,0.03,0.29
429,4089,185.01,959.0,The Evil Within,PS4,2014.0,Action,Bethesda Softworks,0.55,0.84,0.11,0.31,1.81
430,4089,185.01,2267.0,The Evil Within,PS3,2014.0,Action,Bethesda Softworks,0.26,0.39,0.12,0.14,0.92
431,4089,185.01,3100.0,The Evil Within,XOne,2014.0,Action,Bethesda Softworks,0.35,0.25,0.0,0.05,0.65
432,4089,185.01,4014.0,The Evil Within,X360,2014.0,Action,Bethesda Softworks,0.25,0.2,0.01,0.04,0.5
433,4089,185.01,6300.0,The Evil Within,PC,2014.0,Action,Bethesda Softworks,0.09,0.16,0.0,0.02,0.27
434,32,1.99,,,,,,,,,,,
435,315,64.92,1464.0,Max Payne 2: The Fall of Max Payne,PS2,2003.0,Shooter,Take-Two Interactive,0.65,0.51,0.0,0.17,1.34
436,315,64.92,3144.0,Max Payne 2: The Fall of Max Payne,XB,2003.0,Shooter,Take-Two Interactive,0.47,0.15,0.0,0.02,0.64
437,315,64.92,14725.0,Max Payne 2: The Fall of Max Payne,PC,2003.0,Shooter,Take-Two Interactive,0.0,0.02,0.0,0.0,0.03
438,70560,633.07,2826.0,XCOM: Enemy Unknown,PC,2012.0,Strategy,Take-Two Interactive,0.26,0.36,0.0,0.1,0.72
439,70560,633.07,3149.0,XCOM: Enemy Unknown,X360,2012.0,Strategy,Take-Two Interactive,0.36,0.23,0.0,0.05,0.64
440,70560,633.07,3370.0,XCOM: Enemy Unknown,PS3,2012.0,Strategy,Take-Two Interactive,0.24,0.25,0.0,0.11,0.6
441,33,2.59,1935.0,Disney Universe,Wii,2011.0,Action,Disney Interactive Studios,0.67,0.3,0.0,0.1,1.07
442,33,2.59,3200.0,Disney Universe,PS3,2011.0,Action,Disney Interactive Studios,0.3,0.23,0.0,0.09,0.63
443,33,2.59,3516.0,Disney Universe,X360,2011.0,Action,Disney Interactive Studios,0.37,0.15,0.0,0.05,0.57
444,34,1.02,2927.0,World of Zoo,DS,2009.0,Simulation,THQ,0.43,0.2,0.0,0.06,0.7
445,34,1.02,3232.0,World of Zoo,Wii,2009.0,Simulation,THQ,0.41,0.16,0.0,0.05,0.63
